,pokedex_number,generation,is_sub_legendary,is_legendary,is_mythical,type_number,height_m,weight_kg,abilities_number,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,egg_type_number,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
93,74,1,0,0,0,2,0.4,20.0,3,300.0,40.0,80.0,100.0,30.0,30.0,20.0,255.0,70.0,60.0,1,50.0,15.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
94,74,1,0,0,0,2,0.4,20.3,3,300.0,40.0,80.0,100.0,30.0,30.0,20.0,255.0,70.0,60.0,1,50.0,15.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,75,1,0,0,0,2,1.0,105.0,3,390.0,55.0,95.0,115.0,45.0,45.0,35.0,120.0,70.0,137.0,1,50.0,15.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
96,75,1,0,0,0,2,1.0,110.0,3,390.0,55.0,95.0,115.0,45.0,45.0,35.0,120.0,70.0,137.0,1,50.0,15.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,76,1,0,0,0,2,1.4,300.0,3,495.0,80.0,120.0,130.0,55.0,65.0,45.0,45.0,70.0,223.0,1,50.0,15.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
98,76,1,0,0,0,2,1.7,316.0,3,495.0,80.0,120.0,130.0,55.0,65.0,45.0,45.0,70.0,223.0,1,50.0,15.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,77,1,0,0,0,1,1.0,30.0,3,410.0,50.0,85.0,55.0,65.0,65.0,90.0,190.0,70.0,82.0,1,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
100,77,1,0,0,0,1,0.8,24.0,3,410.0,50.0,85.0,55.0,65.0,65.0,90.0,,,,1,,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
101,78,1,0,0,0,1,1.7,95.0,3,500.0,65.0,100.0,70.0,80.0,80.0,105.0,60.0,70.0,175.0,1,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
102,78,1,0,0,0,2,1.7,80.0,3,500.0,65.0,100.0,70.0,80.0,80.0,105.0,,,,1,,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
103,79,1,0,0,0,2,1.2,36.0,3,315.0,90.0,65.0,65.0,40.0,40.0,15.0,190.0,70.0,63.0,2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
104,80,1,0,0,0,2,1.6,78.5,3,490.0,95.0,75.0,110.0,100.0,80.0,30.0,75.0,70.0,172.0,2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
105,80,1,0,0,0,2,2.0,120.0,1,590.0,95.0,75.0,180.0,130.0,80.0,30.0,75.0,70.0,207.0,2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
106,81,1,0,0,0,2,0.3,6.0,3,325.0,25.0,35.0,70.0,95.0,55.0,45.0,190.0,70.0,65.0,1,,20.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
107,82,1,0,0,0,2,1.0,60.0,3,465.0,50.0,60.0,95.0,120.0,70.0,70.0,60.0,70.0,163.0,1,,20.0,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
108,83,1,0,0,0,2,0.8,15.0,3,377.0,52.0,90.0,55.0,58.0,62.0,60.0,45.0,70.0,132.0,2,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
109,83,1,0,0,0,1,0.8,42.0,2,377.0,52.0,95.0,55.0,58.0,62.0,55.0,,,,2,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
110,84,1,0,0,0,2,1.4,39.2,3,310.0,35.0,85.0,45.0,35.0,35.0,75.0,190.0,70.0,62.0,1,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
111,85,1,0,0,0,2,1.8,85.2,3,470.0,60.0,110.0,70.0,60.0,60.0,110.0,45.0,70.0,165.0,1,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
112,86,1,0,0,0,1,1.1,90.0,3,325.0,65.0,45.0,55.0,45.0,70.0,45.0,190.0,70.0,65.0,2,50.0,20.0,1.0,0.25,0.5,2.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
113,87,1,0,0,0,2,1.7,120.0,3,475.0,90.0,70.0,80.0,70.0,95.0,70.0,75.0,70.0,166.0,2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.125,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
114,88,1,0,0,0,1,0.9,30.0,3,325.0,80.0,80.0,50.0,40.0,50.0,25.0,190.0,70.0,65.0,1,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
115,88,1,0,0,0,2,0.7,42.0,3,325.0,80.0,80.0,50.0,40.0,50.0,25.0,190.0,70.0,65.0,1,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
116,89,1,0,0,0,1,1.2,30.0,3,500.0,105.0,105.0,75.0,65.0,100.0,50.0,75.0,70.0,175.0,1,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
117,89,1,0,0,0,2,1.0,52.0,3,500.0,105.0,105.0,75.0,65.0,100.0,50.0,75.0,70.0,175.0,1,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
118,90,1,0,0,0,1,0.3,4.0,3,305.0,30.0,65.0,100.0,45.0,25.0,40.0,190.0,70.0,61.0,1,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
119,91,1,0,0,0,2,1.5,132.5,3,525.0,50.0,95.0,180.0,85.0,45.0,70.0,60.0,70.0,184.0,1,50.0,20.0,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
120,92,1,0,0,0,2,1.3,0.1,1,310.0,30.0,35.0,30.0,100.0,35.0,80.0,190.0,70.0,62.0,1,50.0,20.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
121,93,1,0,0,0,2,1.6,0.1,1,405.0,45.0,50.0,45.0,115.0,55.0,95.0,90.0,70.0,142.0,1,50.0,20.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,0.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
122,94,1,0,0,0,2,1.5,40.5,1,500.0,60.0,65.0,60.0,130.0,75.0,110.0,45.0,70.0,225.0,1,50.0,20.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
123,94,1,0,0,0,2,1.4,40.5,1,600.0,60.0,65.0,80.0,170.0,95.0,130.0,45.0,70.0,270.0,1,50.0,20.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
124,95,1,0,0,0,2,8.8,210.0,3,385.0,35.0,45.0,160.0,30.0,45.0,70.0,45.0,70.0,77.0,1,50.0,25.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
125,96,1,0,0,0,1,1.0,32.4,3,328.0,60.0,48.0,45.0,43.0,90.0,42.0,190.0,70.0,66.0,1,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
126,97,1,0,0,0,1,1.6,75.6,3,483.0,85.0,73.0,70.0,73.0,115.0,67.0,75.0,70.0,169.0,1,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
127,98,1,0,0,0,1,0.4,6.5,3,325.0,30.0,105.0,90.0,25.0,25.0,50.0,225.0,70.0,65.0,1,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
128,99,1,0,0,0,1,1.3,60.0,3,475.0,55.0,130.0,115.0,50.0,50.0,75.0,60.0,70.0,166.0,1,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
129,100,1,0,0,0,1,0.5,10.4,3,330.0,40.0,30.0,50.0,55.0,55.0,100.0,190.0,70.0,66.0,1,,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
130,101,1,0,0,0,1,1.2,66.6,3,490.0,60.0,50.0,70.0,80.0,80.0,150.0,60.0,70.0,172.0,1,,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
131,102,1,0,0,0,2,0.4,2.5,2,325.0,60.0,40.0,80.0,60.0,45.0,40.0,90.0,70.0,65.0,1,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
132,103,1,0,0,0,2,2.0,120.0,2,530.0,95.0,95.0,85.0,125.0,75.0,55.0,45.0,70.0,186.0,1,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
133,103,1,0,0,0,2,10.9,415.6,2,530.0,95.0,105.0,85.0,125.0,75.0,45.0,45.0,70.0,186.0,1,50.0,20.0,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
134,104,1,0,0,0,1,0.4,6.5,3,320.0,50.0,50.0,95.0,40.0,50.0,35.0,190.0,70.0,64.0,1,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
135,105,1,0,0,0,1,1.0,45.0,3,425.0,60.0,80.0,110.0,50.0,80.0,45.0,75.0,70.0,149.0,1,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
136,105,1,0,0,0,2,1.0,34.0,3,425.0,60.0,80.0,110.0,50.0,80.0,45.0,75.0,70.0,149.0,1,50.0,20.0,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5
137,106,1,0,0,0,1,1.5,49.8,3,455.0,50.0,120.0,53.0,35.0,110.0,87.0,45.0,70.0,159.0,1,100.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
138,107,1,0,0,0,1,1.4,50.2,3,455.0,50.0,105.0,79.0,35.0,110.0,76.0,45.0,70.0,159.0,1,100.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
139,108,1,0,0,0,1,1.2,65.5,3,385.0,90.0,55.0,75.0,60.0,75.0,30.0,45.0,70.0,77.0,1,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
140,109,1,0,0,0,1,0.6,1.0,3,340.0,40.0,65.0,95.0,60.0,45.0,35.0,190.0,70.0,68.0,1,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
141,110,1,0,0,0,1,1.2,9.5,3,490.0,65.0,90.0,120.0,85.0,70.0,60.0,60.0,70.0,172.0,1,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
142,110,1,0,0,0,2,3.0,16.0,3,490.0,65.0,90.0,120.0,85.0,70.0,60.0,,,,1,,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
143,111,1,0,0,0,2,1.0,115.0,3,345.0,80.0,85.0,95.0,30.0,30.0,25.0,120.0,70.0,69.0,2,50.0,20.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
144,112,1,0,0,0,2,1.9,120.0,3,485.0,105.0,130.0,120.0,45.0,45.0,40.0,60.0,70.0,170.0,2,50.0,20.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
145,113,1,0,0,0,1,1.1,34.6,3,450.0,250.0,5.0,5.0,35.0,105.0,50.0,30.0,140.0,395.0,1,0.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
146,114,1,0,0,0,1,1.0,35.0,3,435.0,65.0,55.0,115.0,100.0,40.0,60.0,45.0,70.0,87.0,1,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
147,115,1,0,0,0,1,2.2,80.0,3,490.0,105.0,95.0,80.0,40.0,80.0,90.0,45.0,70.0,172.0,1,0.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
148,115,1,0,0,0,1,2.2,100.0,1,590.0,105.0,125.0,100.0,60.0,100.0,100.0,45.0,70.0,207.0,1,0.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
149,116,1,0,0,0,1,0.4,8.0,3,295.0,30.0,40.0,70.0,70.0,25.0,60.0,225.0,70.0,59.0,2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
150,117,1,0,0,0,1,1.2,25.0,3,440.0,55.0,65.0,95.0,95.0,45.0,85.0,75.0,70.0,154.0,2,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
151,118,1,0,0,0,1,0.6,15.0,3,320.0,45.0,67.0,60.0,35.0,50.0,63.0,225.0,70.0,64.0,1,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
152,119,1,0,0,0,1,1.3,39.0,3,450.0,80.0,92.0,65.0,65.0,80.0,68.0,60.0,70.0,158.0,1,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
153,120,1,0,0,0,1,0.8,34.5,3,340.0,30.0,45.0,55.0,70.0,55.0,85.0,225.0,70.0,68.0,1,,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
154,121,1,0,0,0,2,1.1,80.0,3,520.0,60.0,75.0,85.0,100.0,85.0,115.0,60.0,70.0,182.0,1,,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
155,122,1,0,0,0,2,1.3,54.5,3,460.0,40.0,45.0,65.0,100.0,120.0,90.0,45.0,70.0,161.0,1,50.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
156,122,1,0,0,0,2,1.4,56.8,3,460.0,50.0,65.0,65.0,90.0,90.0,100.0,,,,1,,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.5,1.0,1.0,0.5,1.0,1.0,1.5,0.0,1.0,1.5,1.0
157,123,1,0,0,0,2,1.5,56.0,3,500.0,70.0,110.0,80.0,55.0,80.0,105.0,45.0,70.0,100.0,1,50.0,25.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
158,124,1,0,0,0,2,1.4,40.6,3,455.0,65.0,50.0,35.0,115.0,95.0,95.0,45.0,70.0,159.0,1,0.0,25.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
159,125,1,0,0,0,1,1.1,30.0,2,490.0,65.0,83.0,57.0,95.0,85.0,105.0,45.0,70.0,172.0,1,75.0,25.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
160,126,1,0,0,0,1,1.3,44.5,2,495.0,65.0,95.0,57.0,100.0,85.0,93.0,45.0,70.0,173.0,1,75.0,25.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
161,127,1,0,0,0,1,1.5,55.0,3,500.0,65.0,125.0,100.0,55.0,70.0,85.0,45.0,70.0,175.0,1,50.0,25.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
162,127,1,0,0,0,2,1.7,59.0,1,600.0,65.0,155.0,120.0,65.0,90.0,105.0,45.0,70.0,210.0,1,50.0,25.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
163,128,1,0,0,0,1,1.4,88.4,3,490.0,75.0,100.0,95.0,40.0,70.0,110.0,45.0,70.0,172.0,1,100.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
164,129,1,0,0,0,1,0.9,10.0,2,200.0,20.0,10.0,55.0,15.0,20.0,80.0,255.0,70.0,40.0,2,50.0,5.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
165,130,1,0,0,0,2,6.5,235.0,2,540.0,95.0,125.0,79.0,60.0,100.0,81.0,45.0,70.0,189.0,2,50.0,5.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
166,130,1,0,0,0,2,6.5,305.0,1,640.0,95.0,155.0,109.0,70.0,130.0,81.0,45.0,70.0,224.0,2,50.0,5.0,1.0,0.5,0.5,2.0,2.0,0.5,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,0.5,2.0
167,131,1,0,0,0,2,2.5,220.0,3,535.0,130.0,85.0,80.0,85.0,95.0,60.0,45.0,70.0,187.0,2,50.0,40.0,1.0,1.0,0.0,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
168,132,1,0,0,0,1,0.3,4.0,2,288.0,48.0,48.0,48.0,48.0,48.0,48.0,35.0,70.0,101.0,1,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
169,133,1,0,0,0,1,0.3,6.5,3,325.0,55.0,55.0,50.0,45.0,65.0,55.0,45.0,70.0,65.0,1,87.5,35.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
170,133,1,0,0,0,1,0.3,6.5,1,435.0,65.0,75.0,70.0,65.0,85.0,75.0,45.0,70.0,65.0,0,87.5,35.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
171,134,1,0,0,0,1,1.0,29.0,2,525.0,130.0,65.0,60.0,110.0,95.0,65.0,45.0,70.0,184.0,1,87.5,35.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
172,135,1,0,0,0,1,0.8,24.5,2,525.0,65.0,65.0,60.0,110.0,95.0,130.0,45.0,70.0,184.0,1,87.5,35.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
173,136,1,0,0,0,1,0.9,25.0,2,525.0,65.0,130.0,60.0,95.0,110.0,65.0,45.0,70.0,184.0,1,87.5,35.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
174,137,1,0,0,0,1,0.8,36.5,3,395.0,65.0,60.0,70.0,85.0,75.0,40.0,45.0,70.0,79.0,1,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
175,138,1,0,0,0,2,0.4,7.5,3,355.0,35.0,40.0,100.0,90.0,55.0,35.0,45.0,70.0,71.0,2,87.5,30.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
176,139,1,0,0,0,2,1.0,35.0,3,495.0,70.0,60.0,125.0,115.0,70.0,55.0,45.0,70.0,173.0,2,87.5,30.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
177,140,1,0,0,0,2,0.5,11.5,3,355.0,30.0,80.0,90.0,55.0,45.0,55.0,45.0,70.0,71.0,2,87.5,30.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,141,1,0,0,0,2,1.3,40.5,3,495.0,60.0,115.0,105.0,65.0,70.0,80.0,45.0,70.0,173.0,2,87.5,30.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,142,1,0,0,0,2,1.8,59.0,3,515.0,80.0,105.0,65.0,60.0,75.0,130.0,45.0,70.0,180.0,1,87.5,35.0,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0
180,142,1,0,0,0,2,2.1,79.0,1,615.0,80.0,135.0,85.0,70.0,95.0,150.0,45.0,70.0,215.0,1,87.5,35.0,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0
181,143,1,0,0,0,1,2.1,460.0,3,540.0,160.0,110.0,65.0,65.0,110.0,30.0,25.0,70.0,189.0,1,87.5,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
182,144,1,1,0,0,2,1.7,55.4,2,580.0,90.0,85.0,100.0,95.0,125.0,85.0,3.0,35.0,261.0,1,,80.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
183,145,1,1,0,0,2,1.6,52.6,2,580.0,90.0,90.0,85.0,125.0,90.0,100.0,3.0,35.0,261.0,1,,80.0,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
184,146,1,1,0,0,2,2.0,60.0,2,580.0,90.0,100.0,90.0,125.0,85.0,90.0,3.0,35.0,261.0,1,,80.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
185,147,1,0,0,0,1,1.8,3.3,2,300.0,41.0,64.0,45.0,50.0,50.0,50.0,45.0,35.0,60.0,2,50.0,40.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
186,148,1,0,0,0,1,4.0,16.5,2,420.0,61.0,84.0,65.0,70.0,70.0,70.0,45.0,35.0,147.0,2,50.0,40.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
187,149,1,0,0,0,2,2.2,210.0,2,600.0,91.0,134.0,95.0,100.0,100.0,80.0,45.0,35.0,270.0,2,50.0,40.0,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0
